Name,Price,Shadow Size,Swimming Pattern,Time
Abalone,2000,Medium,Moderate consistent movement,4pm - 9am
Acorn barnacle,600,Tiny,Stationary,All day
Chambered nautilus,1800,Medium,Slow,4pm - 9am
Gazami crab,2200,Medium,Slow consistent movement,All day
Giant isopod,12000,Medium,Quick long lunges,9am - 4pm & 9pm - 4am
Mantis shrimp,2500,Small,Quick short lunges,4pm - 9am
Mussel,1500,Small,Slow consistent movement,All day
Octopus,1200,Medium,Slow long lunges,All day
Oyster,1100,Small,Slow short lunges,All day
Pearl oyster,2800,Small,Moderate long lunges,All day
Scallop,1200,Medium,Slow long lunges,All day
Sea anemone,500,Large,Stationary,All day
Sea slug,600,Tiny,Slow consistent movement,All day
Sea star,500,Small,Slow short lunges,All day
Seaweed,600,Large,Stationary,All day
Spiny lobster,5000,Large,Quick,9pm - 4am
Spotted garden eel,1100,Small,Slow consistent movement,4am - 9pm
Sweet shrimp,1400,Small,Slow Movement,4pm - 9am
Turban shell,1000,Small,Slow,All day
Umbrella octopus,6000,Small,Quick short lunges,All day
Venus' flower basket,5000,Medium,Quick long lunges,All day
Whelk,1000,Small,Slow consistent movement,All day
