Name,Price,Shadow Size,Swimming Pattern,Time
Abalone,2000,Medium,Moderate consistent movement,4pm - 9am
Acorn barnacle,600,Tiny,Stationary,All day
Gazami crab,2200,Medium,Slow consistent movement,All day
Giant isopod,12000,Medium,Quick long lunges,9am - 4pm & 9pm - 4am
Gigas giant clam,15000,Huge,Fast consistent movement,All day
Horseshoe crab,2500,Medium,Quick short lunges,9pm - 4am
Mantis shrimp,2500,Small,Quick short lunges,4pm - 9am
Moon jellyfish,600,Small,Slow consistent movement,All day
Mussel,1500,Small,Slow consistent movement,All day
Octopus,1200,Medium,Slow long lunges,All day
Pearl oyster,2800,Small,Moderate long lunges,All day
Scallop,1200,Medium,Slow long lunges,All day
Sea anemone,500,Large,Stationary,All day
Sea grapes,900,Small,Stationary,All day
Sea pineapple,1500,Small,Slow short lunges,All day
Sea slug,600,Tiny,Slow consistent movement,All day
Sea star,500,Small,Slow short lunges,All day
Sea urchin,1700,Small,Slow consistent movement,All day
Seaweed,600,Large,Stationary,All day
Slate pencil urchin,2000,Medium,Medium consistent movement,4pm - 9am
Spotted garden eel,1100,Small,Slow consistent movement,4am - 9pm
Tiger prawn,3000,Small,Moderate consistent movement,4pm - 9am
Vampire squid,10000,Medium,Quick long lunges,4pm - 9am
Whelk,1000,Small,Slow consistent movement,All day
