Name,Price,Shadow Size,Swimming Pattern,Time
Acorn barnacle,600,Tiny,Stationary,All day
Chambered nautilus,1800,Medium,Slow,4pm - 9am
Dungeness crab,1900,Medium,Moderate consistent movement,All day
Firefly squid,1400,Tiny,Moderate short lunges,9pm - 4am
Lobster,4500,Large,Quick,All day
Mantis shrimp,2500,Small,Quick short lunges,4pm - 9am
Octopus,1200,Medium,Slow long lunges,All day
Pearl oyster,2800,Small,Moderate long lunges,All day
Scallop,1200,Medium,Slow long lunges,All day
Sea anemone,500,Large,Stationary,All day
Sea cucumber,500,Medium,Slow consistent movement,All day
Sea pineapple,1500,Small,Slow short lunges,All day
Sea slug,600,Tiny,Slow consistent movement,All day
Sea star,500,Small,Slow short lunges,All day
Seaweed,600,Large,Stationary,All day
Snow crab,6000,Large,Quick short lunges,All day
Spider crab,12000,Huge,Quick,All day
Turban shell,1000,Small,Slow,All day
Umbrella octopus,6000,Small,Quick short lunges,All day
Whelk,1000,Small,Slow consistent movement,All day
