Name,Price,Location,Shadow Size,Time
Anchovy,200,Sea,2,4am - 9pm
Angelfish,3000,River,2,4pm - 9am
Barred knifejaw,5000,Sea,3,All day
Barreleye,15000,Sea,2,9pm - 4am
Betta,2500,River,2,9am - 4pm
Black bass,400,River,4,All day
Bluegill,180,River,2,9am - 4pm
Butterfly fish,1000,Sea,2,All day
Carp,300,Pond,4,All day
Catfish,800,Pond,4,4pm - 9am
Char,3800,River (Clifftop) Pond,3,"4pm - 9am (Sep-Dec),All day (Mar-May)"
Cherry salmon,1000,River (Clifftop),3,All day
Clown fish,650,Sea,1,All day
Coelacanth,15000,Sea (Rain),6,All day
Crawfish,200,Pond,2,All day
Crucian carp,160,River,2,All day
Dace,240,River,3,4pm - 9am
Freshwater goby,400,River,2,4pm - 9am
Frog,120,Pond,2,All day
Giant trevally,4500,Pier,5,All day
Golden trout,15000,River (Clifftop),3,4pm - 9am
Goldfish,1300,Pond,1,All day
Guppy,1300,River,1,9am - 4pm
Horse mackerel,150,Sea,2,All day
Killifish,300,Pond,1,All day
Koi,4000,Pond,4,4pm - 9am
Loach,400,River,2,All day
Mahi-mahi,6000,Pier,5,All day
Neon tetra,500,River,1,9am - 4pm
Nibble fish,1500,River,1,9am - 4pm
Oarfish,9000,Sea,6,All day
Olive flounder,800,Sea,5,All day
Pale chub,200,River,1,9am - 4pm
Pop-eyed goldfish,1300,Pond,1,9am - 4pm
Rainbowfish,800,River,1,9am - 4pm
Ranchu goldfish,4500,Pond,2,9am - 4pm
Red snapper,3000,Sea,4,All day
Sea bass,400,Sea,5,All day
Sea horse,1100,Sea,1,All day
Snapping turtle,5000,River,5,9pm - 4am
Squid,500,Sea,3,All day
Surgeonfish,1000,Sea,2,All day
Tadpole,100,Pond,1,All day
Zebra turkeyfish,500,Sea,3,All day
