Name,Price,Location,Shadow Size,Time
Anchovy,200,Sea,2,4am - 9pm
Angelfish,3000,River,2,4pm - 9am
Barred knifejaw,5000,Sea,3,All day
Barreleye,15000,Sea,2,9pm - 4am
Betta,2500,River,2,9am - 4pm
Black bass,400,River,4,All day
Bluegill,180,River,2,9am - 4pm
Carp,300,Pond,4,All day
Catfish,800,Pond,4,4pm - 9am
Char,3800,River (Clifftop) Pond,3,All day
Cherry salmon,1000,River (Clifftop),3,All day
Coelacanth,15000,Sea (Rain),6,All day
Crucian carp,160,River,2,All day
Dab,300,Sea,3,All day
Dace,240,River,3,4pm - 9am
Freshwater goby,400,River,2,4pm - 9am
Giant trevally,4500,Pier,5,All day
Golden trout,15000,River (Clifftop),3,4pm - 9am
Goldfish,1300,Pond,1,All day
Guppy,1300,River,1,9am - 4pm
Horse mackerel,150,Sea,2,All day
Koi,4000,Pond,4,4pm - 9am
Mahi-mahi,6000,Pier,5,All day
Mitten crab,2000,River,2,4pm - 9am
Moray eel,2000,Sea,8,All day
Neon tetra,500,River,1,9am - 4pm
Olive flounder,800,Sea,5,All day
Pale chub,200,River,1,9am - 4pm
Pike,1800,River,5,All day
Pop-eyed goldfish,1300,Pond,1,9am - 4pm
Rainbowfish,800,River,1,9am - 4pm
Ranchu goldfish,4500,Pond,2,9am - 4pm
Ray,3000,Sea,5,4am - 9pm
Red snapper,3000,Sea,4,All day
Ribbon eel,600,Sea,8,All day
Sea bass,400,Sea,5,All day
Sea horse,1100,Sea,1,All day
Snapping turtle,5000,River,5,9pm - 4am
Sturgeon,10000,River (Mouth),6,All day
Tilapia,800,River,3,All day
Yellow perch,300,River,3,All day
Zebra turkeyfish,500,Sea,3,All day
