Name,Price,Location,Time
Ant,80,On rotten food,All day
Bagworm,600,Shaking trees,All day
Centipede,300,Hitting rocks,4pm - 11pm
Citrus long-horned beetle,350,On tree stumps,All day
Common butterfly,160,Flying,4am - 7pm
Emperor butterfly,4000,Flying,5pm - 8am
Fly,60,On trash items,All day
Hermit crab,1000,Beach disguised as shells,7pm - 8am
Honeybee,200,Flying,8am - 5pm
Ladybug,200,On flowers,8am - 5pm
Man-faced stink bug,1000,On flowers,7pm - 8am
Mantis,430,On flowers,8am - 5pm
Mole cricket,500,Underground,All day
Moth,130,Flying by light,7pm - 4am
Orchid mantis,2400,On flowers (white),8am - 5pm
Paper kite butterfly,1000,Flying,8am - 7pm
Peacock butterfly,2500,Flying by hybrid flowers,4am - 7pm
Pill bug,250,Hitting rocks,11pm - 4pm
Snail,250,On rocks and bushes (rain),All day
Spider,600,Shaking trees,7pm - 8am
Stinkbug,120,On flowers,All day
Tarantula,8000,On the ground,7pm - 4am
Tiger beetle,1500,On the ground,All day
Tiger butterfly,240,Flying,4am - 7pm
Wasp,2500,Shaking trees,All day
Wharf roach,200,On beach rocks,All day
Yellow butterfly,160,Flying,4am - 7pm
