Name,Price,Location,Time
Agrias butterfly,3000,Flying,8am - 5pm
Ant,80,On rotten food,All day
Atlas moth,3000,On trees,7pm - 4am
Bagworm,600,Shaking trees,All day
Banded dragonfly,4500,Flying,8am - 5pm
Blue weevil beetle,800,On palm trees,All day
Brown cicada,250,On trees,8am - 5pm
Cicada shell,10,On trees,All day
Citrus long-horned beetle,350,On tree stumps,All day
Common bluebottle,300,Flying,4am - 7pm
Cyclommatus stag,8000,On palm trees,5pm - 8am
Darner dragonfly,230,Flying,8am - 5pm
Diving beetle,800,On ponds and rivers,8am - 7pm
Drone beetle,200,On trees,All day
Earth-boring dung beetle,300,On the ground,All day
Emperor butterfly,4000,Flying,5pm - 8am
Evening cicada,550,On trees,4am - 8am & 4pm - 7pm
Flea,70,Villager's heads,All day
Fly,60,On trash items,All day
Giant cicada,500,On trees,8am - 5pm
Giant stag,10000,On trees,11pm - 8am
Giant water bug,2000,On ponds and rivers,7pm - 8am
Giraffe stag,12000,On palm trees,5pm - 8am
Golden stag,12000,On palm trees,5pm - 8am
Goliath beetle,8000,On palm trees,5pm - 8am
Grasshopper,160,On the ground,8am - 5pm
Great purple emperor,3000,Flying,4am - 7pm
Hermit crab,1000,Beach disguised as shells,7pm - 8am
Horned atlas,8000,On palm trees,5pm - 8am
Horned dynastid,1350,On trees,5pm - 8am
Horned elephant,8000,On palm trees,5pm - 8am
Horned hercules,12000,On palm trees,5pm - 8am
Jewel beetle,2400,On tree stumps,All day
Long locust,200,On the ground,8am - 7pm
Madagascan sunset moth,2500,Flying,8am - 4pm
Man-faced stink bug,1000,On flowers,7pm - 8am
Mantis,430,On flowers,8am - 5pm
Migratory locust,600,On the ground,8am - 7pm
Miyama stag,1000,On trees,All day
Mosquito,130,Flying,5pm - 4am
Moth,130,Flying by light,7pm - 4am
Orchid mantis,2400,On flowers (white),8am - 5pm
Paper kite butterfly,1000,Flying,8am - 7pm
Pondskater,130,On ponds and rivers,8am - 7pm
Queen Alexandra's birdwing,4000,Flying,8am - 4pm
Rainbow stag,6000,On trees,7pm - 8am
Rajah Brooke's birdwing,2500,Flying,8am - 5pm
Rice grasshopper,160,On the ground,8am - 7pm
Robust cicada,300,On trees,8am - 5pm
Rosalia batesi beetle,3000,On tree stumps,All day
Saw stag,2000,On trees,All day
Scarab beetle,10000,On trees,11pm - 8am
Scorpion,8000,On the ground,7pm - 4am
Snail,250,On rocks and bushes (rain),All day
Spider,600,Shaking trees,7pm - 8am
Stinkbug,120,On flowers,All day
Tiger beetle,1500,On the ground,All day
Tiger butterfly,240,Flying,4am - 7pm
Walker cicada,400,On trees,8am - 5pm
Walking leaf,600,Under trees disguised as leaves,All day
Walking stick,600,On trees,4am - 8am & 5pm - 7pm
Wasp,2500,Shaking trees,All day
Wharf roach,200,On beach rocks,All day
